id,global_id,name,ward_code,number_of_students,number_of_teachers,sub_type,management,education_type,category,timestamp,lga_name,lga_code,state_code,state_name,longitude,latitude
883721,2fa9328b-265d-4e91-8941-e64d520dbbfa,Kwahra Primary School,12711,,,Primary,Unknown,Formal,Primary,2020-12-11T13:17:05Z,Shani,127,BR,Borno,11.89134,10.30434
883722,509bd4db-11be-472d-bffd-dd1d35137b90,Labiki Primary School,12706,,,Primary,Unknown,Formal,Primary,2020-12-11T13:17:05Z,Shani,127,BR,Borno,12.05182812970739,10.114786181595804
883723,4de12f96-6ae3-4862-8bcc-4fcd83106c08,Lashana Primary School Waja,12704,,,Primary,Unknown,Formal,Primary,2020-12-11T13:17:05Z,Shani,127,BR,Borno,11.890701545398947,10.068501366276628
883724,338d9404-8b14-476b-913a-6ac02ff8faf4,Lesga Primary School,12702,,,Primary,Unknown,Formal,Primary,2020-12-11T13:26:10Z,Shani,127,BR,Borno,12.234493628164875,10.355597592340413
883725,dd7ee398-4666-4786-8081-390f3a76ff5e,Mbagu Primary School,12710,,,Primary,Unknown,Formal,Primary,2020-12-11T13:43:05Z,Shani,127,BR,Borno,12.09196085114364,10.229579327978689
883726,c7a873b5-8a01-4fe7-9eb1-db53b0f02101,Phara Primary School,12703,,,Primary,Unknown,Formal,Primary,2020-12-11T13:48:49Z,Shani,127,BR,Borno,11.808485330452166,10.174645878936136
883727,5d1e462d-29be-4f84-8cf9-9252639ab566,Pajala Primary School,12711,,,Primary,Unknown,Formal,Primary,2020-12-11T13:48:49Z,Shani,127,BR,Borno,12.003267088324431,10.338090011116996
883728,5edf2a3e-3e6f-418e-a305-3cf7ca1722d0,Pankilang Primary School,12707,,,Primary,Unknown,Formal,Primary,2020-12-11T13:48:49Z,Shani,127,BR,Borno,11.998649831994673,10.129597211861762
883729,7ba156cd-3206-43db-bd84-e96028a4ad2a,Pilak Primary School,12709,,,Primary,Unknown,Formal,Primary,2020-12-11T13:48:49Z,Shani,127,BR,Borno,11.837381892526611,10.065267603457412
883730,c581b423-b3e9-4056-9056-b427693baacf,Pitila Primary School,12710,,,Primary,Unknown,Formal,Primary,2020-12-11T13:48:49Z,Shani,127,BR,Borno,11.998827782579736,10.242943090797905
883731,81ade79a-8181-4f6d-b578-b0487811933a,Primary School Sabon Sara,12703,,,Primary,Unknown,Formal,Primary,2020-12-11T13:48:49Z,Shani,127,BR,Borno,11.797602250771254,10.112469294627696
883732,a47fa557-b9ae-4f85-960f-61791133558c,Wurti Primary School,12710,,,Primary,Unknown,Formal,Primary,2020-12-11T13:59:55Z,Shani,127,BR,Borno,12.025846024707471,10.272004143297869
883800,70a689cf-eda6-4410-92d9-156b364d761f,Lukumbi Primary School,11110,,,Primary,Public,Formal,Primary,2020-12-11T13:41:46Z,Gwoza,111,BR,Borno,13.679497000000026,10.947896000000071
883801,c8dfca38-dd2b-4cb4-8fb0-bd70f0f9f82f,Al Ihsan Primary School,10211,,,Primary,Private,Formal,Primary,2020-12-11T14:06:38Z,Askira/Uba,102,BR,Borno,13.224342000000036,10.460753000000068
883802,b4502f71-5b16-4469-8d42-cb272d329d63,Dumde Primary School,10211,,,Primary,Public,Formal,Primary,2020-12-11T14:06:38Z,Askira/Uba,102,BR,Borno,13.22576600000002,10.459623000000022
883803,2e9eeadd-4160-4a5c-beb9-3d6f6039ee19,Kumare Primary School,10211,,,Primary,Public,Formal,Primary,2020-12-11T13:15:52Z,Askira/Uba,102,BR,Borno,13.208663000000058,10.42537900000002
883804,4e411f32-1a79-4a4a-acbd-6dfc149b4752,Shuwari Primary School,10209,,,Primary,Public,Formal,Primary,2020-12-11T13:52:07Z,Askira/Uba,102,BR,Borno,13.335330000000056,10.801036000000067
883805,cfd13888-ae3e-47b2-9ed1-4f21e712a6d9,Ghabala Primary School,11107,,,Primary,Public,Formal,Primary,2020-12-11T14:06:38Z,Gwoza,111,BR,Borno,13.654541000000052,10.94525200000004
883806,87be01a7-c5c8-44bb-a3c0-ab28fb45f03d,Kwakura Primary School,11107,,,Primary,Public,Formal,Primary,2020-12-11T13:17:05Z,Gwoza,111,BR,Borno,13.665444000000036,10.951367000000062
883807,ad5008f9-db78-4eb9-a729-6b9fff5c88db,Blatagu Primary School,10204,,,Primary,Public,Formal,Primary,2020-12-11T14:06:38Z,Askira/Uba,102,BR,Borno,13.23576600000007,10.487002000000077
883808,dbfc77d0-d1e4-4321-9344-5ce670e7d173,Husara Primary School,10204,,,Primary,Public,Formal,Primary,2020-12-11T13:07:55Z,Askira/Uba,102,BR,Borno,13.236002000000042,10.48730100000006
883809,06136eb5-e99d-4de3-8a33-f165cec8cbc3,Tur Macha Primary School,11110,,,Primary,Public,Formal,Primary,2020-12-11T13:55:42Z,Gwoza,111,BR,Borno,13.712541000000044,10.944169000000043
883810,37401a76-43cf-441c-82f6-d912d1026201,Uba B Primary School,10211,,,Primary,Public,Formal,Primary,2020-12-11T13:55:42Z,Askira/Uba,102,BR,Borno,13.219859000000042,10.44752600000004
883811,5d067b10-5165-4006-a7da-a2c400929672,Wuro Sajo Nomadic Primary School,11107,,,Primary,Public,Formal,Primary,2020-12-11T13:59:55Z,Gwoza,111,BR,Borno,13.657019000000048,10.960151000000051
883865,be894dcd-cc4c-46fd-8cd9-121010677f3e,Pelachiroma Primary School,11206,,,Primary,Public,Formal,Primary,2020-12-11T13:48:49Z,Hawul,112,BR,Borno,12.544875460000071,10.42936812000005
883866,b0cd9912-e0f6-4472-bbd5-a87895844433,Maiwa Primary School,12609,,,Primary,Public,Formal,Primary,2020-12-11T13:41:46Z,Nganzai,126,BR,Borno,13.237185999000076,12.32125820500005
883867,5dbf6181-fd2c-4490-b3fa-ec97e2b725ad,Mungun Primary School,12609,,,Primary,Public,Formal,Primary,2020-12-11T13:46:19Z,Nganzai,126,BR,Borno,13.174850222000032,12.335572143000036
883868,bf1db399-2186-46df-a1b4-5e42d8e701fa,Lamot Primary School,12710,,,Primary,Public,Formal,Primary,2020-12-11T13:17:05Z,Shani,127,BR,Borno,12.050553560000026,10.230883960000028
883869,ab9d8747-9737-4340-b2c5-6920439365e3,Kurje Primary School,12710,,,Primary,Public,Formal,Primary,2020-12-11T13:15:52Z,Shani,127,BR,Borno,12.009803016000037,10.185457290000045
883870,822942dd-bd93-4900-8ea7-df4c73866414,Ngabu Primary Primary School,12710,,,Primary,Public,Formal,Primary,2020-12-11T13:46:19Z,Shani,127,BR,Borno,12.029507137000053,10.156237911000062
883871,b550ee6f-68c3-4308-8883-4141e10362ab,Federal Lowcost Primary School,12401,,,Primary,Public,Formal,Primary,2020-12-11T14:09:00Z,Maiduguri,124,BR,Borno,13.121960020000074,11.86240459000004
883872,bf255849-9582-493c-b7b4-bf731b9ae560,Kuburivu Primary School,10604,,,Primary,Public,Formal,Primary,2020-12-11T13:15:52Z,Chibok,106,BR,Borno,13.023748259000058,10.924705279000024
883873,fbb4b1be-5998-4374-b8ed-ab56f97926fa,Kuli Primary School,12108,,,Primary,Public,Formal,Primary,2020-12-11T13:15:52Z,Marte,121,BR,Borno,13.61859965000002,12.318789440000046
883874,2aeca23b-8cb4-49ba-8ea3-0078df77267d,Borno Yesu Primary School,12003,,,Primary,Public,Formal,Primary,2020-12-11T14:09:00Z,Magumeri,120,BR,Borno,12.582816110000069,12.269302200000029
883916,095eeaf0-c8d1-466b-acf7-599cb157bd04,Lampo Primary School,70408,,,Primary,Public,Formal,Primary,2020-12-11T13:17:05Z,Fika,704,YO,Yobe,11.093713050000076,11.232978700000048
883917,b72e2145-cd72-40b6-9c28-4329827b0cca,Garin Waziri Primary School,70408,,,Primary,Public,Formal,Primary,2020-12-11T14:09:00Z,Fika,704,YO,Yobe,11.12342656000004,11.24240935000006
883918,730c58e3-00c7-43f8-963b-07f2fcc9d4c7,Walkere Primary School,70501,,,Primary,Public,Formal,Primary,2020-12-11T13:59:55Z,Fune,705,YO,Yobe,11.721264120000058,11.642745140000043
883919,d656acfa-0c10-4f54-b49c-71cf34982bbd,Abakire Primary School,70501,,,Primary,Public,Formal,Primary,2020-12-11T14:09:00Z,Fune,705,YO,Yobe,11.45871341000003,11.529577370000029
